SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,October-9-2020,Condo/Co-op,2312 Freetown Ct Unit 1B,Reston,VA,20191,225500,2,1.0,GLENVALE,884,,1973,24.0,255,385.0,Sold,,,http://www.redfin.com/VA/Reston/2312-Freetown-Ct-20191/unit-1B/home/156144713,BRIGHT MLS,VAFX1151964,N,Y,38.9380045,-77.3662241,1604368055-236,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Reston/2312-Freetown-Ct-20191/unit-1B/home/156144713,2312 Freetown Ct Unit 1B,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/964/genMid.VAFX1151964_3.jpg,"$233,206",
PAST SALE,August-7-2020,Condo/Co-op,11406 Washington Plz W,Reston,VA,20190,310000,2,1.0,LAKE ANNE OF RESTON COND,1026,,1966,87.0,302,1084.0,Sold,,,http://www.redfin.com/VA/Reston/11406-Washington-Plz-W-20190/home/9226185,BRIGHT MLS,VAFX1133152,N,Y,38.968274,-77.341173,1604367397-61,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Reston/11406-Washington-Plz-W-20190/home/9226185,11406 Washington Plz W,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/152/genMid.VAFX1133152_1.jpg,"$326,141",
PAST SALE,October-6-2020,Condo/Co-op,1902-A Villaridge Dr,Reston,VA,20191,255000,1,1.0,VILLARIDGE CONDO,840,,1985,27.0,304,399.0,Sold,,,http://www.redfin.com/VA/Reston/1902A-Villaridge-Dr-20191/unit-A/home/113382458,BRIGHT MLS,VAFX1150568,N,Y,38.938114,-77.326378,1604368039-231,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Reston/1902A-Villaridge-Dr-20191/unit-A/home/113382458,1902-A Villaridge Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/568/genMid.VAFX1150568_2.jpg,"$258,414",
PAST SALE,October-2-2020,Condo/Co-op,11821 Breton Ct Unit 22D,Reston,VA,20191,250000,2,1.0,HUNTERS WOODS VILLAGE CO,1073,,1972,31.0,233,399.0,Sold,,,http://www.redfin.com/VA/Reston/11821-Breton-Ct-20191/unit-22D/home/9332132,BRIGHT MLS,VAFX1146400,N,Y,38.934931899999995,-77.360325,1604368007-222,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8,,https://www.redfin.com/VA/Reston/11821-Breton-Ct-20191/unit-22D/home/9332132,11821 Breton Ct Unit 22D,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/400/genMid.VAFX1146400_3.jpg,"$252,154",
PAST SALE,October-5-2020,Condo/Co-op,12945 Centre Park Cir #412,Herndon,VA,20171,323000,2,2.0,BRYSON AT WOODLAND PARK,1031,,2005,28.0,313,405.0,Sold,,,http://www.redfin.com/VA/Herndon/12945-Centre-Park-Cir-20171/unit-412/home/12074359,BRIGHT MLS,VAFX1151564,N,Y,38.950337100000006,-77.3911444,1604368026-227,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Herndon/12945-Centre-Park-Cir-20171/unit-412/home/12074359,12945 Centre Park Cir #412,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/564/genMid.VAFX1151564_2.jpg,"$323,831",
PAST SALE,October-26-2020,Condo/Co-op,11611 Stoneview Sq Unit 11C,Reston,VA,20191,239000,3,2.0,SHADOWOOD CONDO,1029,,1974,7.0,232,559.0,Sold,,,http://www.redfin.com/VA/Reston/11611-Stoneview-Sq-20191/unit-11C/home/147066462,BRIGHT MLS,VAFX1130636,N,Y,38.931585,-77.347334,1604368219-284,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5,,https://www.redfin.com/VA/Reston/11611-Stoneview-Sq-20191/unit-11C/home/147066462,11611 Stoneview Sq Unit 11C,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/636/genMid.VAFX1130636_4.jpg,"$252,318",
PAST SALE,September-25-2020,Condo/Co-op,2217-L Lovedale Ln Unit 211A,Reston,VA,20191,374000,2,1.0,BRISTOL HOUSE CONDO,1402,,1986,38.0,267,399.0,Sold,,,http://www.redfin.com/VA/Reston/2217L-Lovedale-Ln-20191/unit-211A/home/52309768,BRIGHT MLS,VAFX1148418,N,Y,38.934126899999995,-77.350302,1604367895-191,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/2217L-Lovedale-Ln-20191/unit-211A/home/52309768,2217-L Lovedale Ln Unit 211A,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/418/genMid.VAFX1148418_4.jpg,"$378,955",
PAST SALE,October-29-2020,Condo/Co-op,2116 Green Watch Way #200,Reston,VA,20191,315000,2,2.0,WOODWINDS CONDO,1141,,1974,4.0,276,440.0,Sold,,,http://www.redfin.com/VA/Reston/2116-Green-Watch-Way-20191/unit-200/home/173379142,BRIGHT MLS,VAFX1160668,N,Y,38.9354593,-77.347595,1604368309-305,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Reston/2116-Green-Watch-Way-20191/unit-200/home/173379142,2116 Green Watch Way #200,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/668/genMid.VAFX1160668_3.jpg,"$309,874",
PAST SALE,September-16-2020,Condo/Co-op,2237-C Lovedale Ln Unit 408B,Reston,VA,20191,330000,2,2.0,BRISTOL HOUSE CONDO,1232,,1986,47.0,268,399.0,Sold,,,http://www.redfin.com/VA/Reston/2237-Lovedale-Ln-20191/unit-408B/home/9345084,BRIGHT MLS,VAFX1145208,N,Y,38.933115,-77.35067099999999,1604367807-167,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-10,,https://www.redfin.com/VA/Reston/2237-Lovedale-Ln-20191/unit-408B/home/9345084,2237-C Lovedale Ln Unit 408B,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/208/genMid.VAFX1145208_2.jpg,"$336,831",
PAST SALE,September-14-2020,Condo/Co-op,1405 Northgate Sq Unit 21C,Reston,VA,20190,281199,3,2.0,NORTHGATE CONDO,1234,,1971,49.0,228,520.0,Sold,,,http://www.redfin.com/VA/Reston/1405-Northgate-Sq-20190/unit-21C/home/105531925,BRIGHT MLS,VAFX1127944,N,Y,38.970715000000006,-77.335358,1604368412-332,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/1405-Northgate-Sq-20190/unit-21C/home/105531925,1405 Northgate Sq Unit 21C,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/944/genMid.VAFX1127944_1.jpg,"$321,033",
