SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,August-28-2020,Single Family Residential,11959 Grey Squirrel Ln,Reston,VA,20194,840000,5,3.5,RESTON,3636,31582.0,1986,66.0,231,59.0,Sold,,,http://www.redfin.com/VA/Reston/11959-Grey-Squirrel-Ln-20194/home/9129819,BRIGHT MLS,VAFX1131744,N,Y,38.9738458,-77.3607512,1604367619-117,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Reston/11959-Grey-Squirrel-Ln-20194/home/9129819,11959 Grey Squirrel Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/744/genMid.VAFX1131744_1.jpg,"$851,363",
PAST SALE,August-26-2020,Single Family Residential,11206 Bradbury Ln,Reston,VA,20194,812550,5,3.5,RESTON,3033,13476.0,1984,68.0,268,59.0,Sold,,,http://www.redfin.com/VA/Reston/11206-Bradbury-Ln-20194/home/9137330,BRIGHT MLS,VAFX1142586,N,Y,38.9776516,-77.33329499999999,1604367591-108,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Reston/11206-Bradbury-Ln-20194/home/9137330,11206 Bradbury Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/586/genMid.VAFX1142586_1.jpg,"$838,924",
PAST SALE,August-31-2020,Single Family Residential,11209 Center Post Ct,Reston,VA,20194,850000,5,3.5,RESTON,3649,5045.0,1993,63.0,233,208.0,Sold,,,http://www.redfin.com/VA/Reston/11209-Center-Post-Ct-20194/home/9143063,BRIGHT MLS,VAFX1142510,N,Y,38.9798214,-77.3353365,1604367670-129,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12,,https://www.redfin.com/VA/Reston/11209-Center-Post-Ct-20194/home/9143063,11209 Center Post Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/510/genMid.VAFX1142510_1.jpg,"$903,299",
PAST SALE,August-21-2020,Single Family Residential,1321 Gatesmeadow Way,Reston,VA,20194,915000,4,4.5,CRIPPENS CORNER,4670,12731.0,2000,73.0,196,143.0,Sold,,,http://www.redfin.com/VA/Reston/1321-Gatesmeadow-Way-20194/home/9160337,BRIGHT MLS,VAFX1125246,N,Y,38.9756529,-77.32387220000001,1604367554-103,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Reston/1321-Gatesmeadow-Way-20194/home/9160337,1321 Gatesmeadow Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/246/genMid.VAFX1125246_1.jpg,"$956,139",
PAST SALE,October-27-2020,Single Family Residential,11889 Shaker Meadows Ct,Herndon,VA,20170,1285000,5,5.5,SHAKER GROVE,4844,36965.0,2002,6.0,265,42.0,Sold,,,http://www.redfin.com/VA/Herndon/11889-Shaker-Meadows-Ct-20170/home/9831945,BRIGHT MLS,VAFX1147786,N,Y,38.9878139,-77.3580821,1604368268-292,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Herndon/11889-Shaker-Meadows-Ct-20170/home/9831945,11889 Shaker Meadows Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/786/genMid.VAFX1147786_2.jpg,"$1,276,060",
PAST SALE,October-27-2020,Single Family Residential,1203 Night Star Ct,Reston,VA,20194,920000,5,3.5,RESTON,2789,11336.0,1994,6.0,330,58.0,Sold,,,http://www.redfin.com/VA/Reston/1203-Night-Star-Ct-20194/home/9123227,BRIGHT MLS,VAFX1150316,N,Y,38.989703000000006,-77.3409448,1604368271-293,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Reston/1203-Night-Star-Ct-20194/home/9123227,1203 Night Star Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/316/genMid.VAFX1150316_3.jpg,"$898,529",
PAST SALE,October-29-2020,Single Family Residential,12009 Creekbend Dr,Reston,VA,20194,998420,6,4.5,SMC STUART ROAD,5492,14531.0,1997,4.0,182,59.0,Sold,,,http://www.redfin.com/VA/Reston/12009-Creekbend-Dr-20194/home/9832318,BRIGHT MLS,VAFX1155922,N,Y,38.97700820000001,-77.3639809,1604368304-303,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Reston/12009-Creekbend-Dr-20194/home/9832318,12009 Creekbend Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/922/genMid.VAFX1155922_4.jpg,"$1,084,509",
PAST SALE,October-30-2020,Single Family Residential,10913 Thanlet Ln,Reston,VA,20190,845000,5,3.5,RESTON,3150,13332.0,1971,3.0,268,59.0,Sold,,,http://www.redfin.com/VA/Reston/10913-Thanlet-Ln-20190/home/9241316,BRIGHT MLS,VAFX1151028,N,Y,38.9692242,-77.32250359999999,1604368342-312,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3,,https://www.redfin.com/VA/Reston/10913-Thanlet-Ln-20190/home/9241316,10913 Thanlet Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/028/genMid.VAFX1151028_1.jpg,"$834,510",
PAST SALE,September-17-2020,Single Family Residential,11609 Springhouse Pl,Reston,VA,20194,775000,3,3.5,RESTON,2853,5481.0,1989,46.0,272,59.0,Sold,,,http://www.redfin.com/VA/Reston/11609-Springhouse-Pl-20194/home/9139810,BRIGHT MLS,VAFX1149988,N,Y,38.98226939999999,-77.34776409999999,1604367818-170,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-10,,https://www.redfin.com/VA/Reston/11609-Springhouse-Pl-20194/home/9139810,11609 Springhouse Pl,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/988/genMid.VAFX1149988_1.jpg,"$777,712",
PAST SALE,October-30-2020,Single Family Residential,11272 Center Harbor Rd,Reston,VA,20194,885000,5,3.5,RESTON,3918,13890.0,1989,3.0,226,59.0,Sold,,,http://www.redfin.com/VA/Reston/11272-Center-Harbor-Rd-20194/home/9158840,BRIGHT MLS,VAFX1150964,N,Y,38.9828641,-77.3330931,1604368353-315,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3,,https://www.redfin.com/VA/Reston/11272-Center-Harbor-Rd-20194/home/9158840,11272 Center Harbor Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/964/genMid.VAFX1150964_4.jpg,"$888,242",
