SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,September-28-2020,Townhouse,11440 Heritage Commons Way,Reston,VA,20194,542500,2,3.5,RESTON SEC 75 BLK 4A VIN,1602,2137.0,1997,35.0,339,59.0,Sold,,,http://www.redfin.com/VA/Reston/11440-Heritage-Commons-Way-20194/home/9124491,BRIGHT MLS,VAFX1150806,N,Y,38.988469,-77.342883,1604367919-198,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/11440-Heritage-Commons-Way-20194/home/9124491,11440 Heritage Commons Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/806/genMid.VAFX1150806_1.jpg,"$543,433",
PAST SALE,August-17-2020,Townhouse,11329 Headlands Ct,Reston,VA,20191,410000,2,1.5,BOSTON RIDGE CLUSTER,1112,2000.0,1979,77.0,369,108.0,Sold,,,http://www.redfin.com/VA/Reston/11329-Headlands-Ct-20191/home/9342140,BRIGHT MLS,VAFX1139926,N,Y,38.942640999999995,-77.337,1604367508-91,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14,,https://www.redfin.com/VA/Reston/11329-Headlands-Ct-20191/home/9342140,11329 Headlands Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/926/genMid.VAFX1139926_1.jpg,"$415,892",
PAST SALE,September-30-2020,Townhouse,2125 Glencourse Ln,Reston,VA,20191,465000,3,3.0,RESTON SEC 44 BLK 1C GLE,1512,2720.0,1977,33.0,308,107.0,Sold,,,http://www.redfin.com/VA/Reston/2125-Glencourse-Ln-20191/home/9334868,BRIGHT MLS,VAFX1151462,N,Y,38.938832,-77.34690400000001,1604367976-213,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8,,https://www.redfin.com/VA/Reston/2125-Glencourse-Ln-20191/home/9334868,2125 Glencourse Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/462/genMid.VAFX1151462_2.jpg,"$488,304",
PAST SALE,October-15-2020,Townhouse,11545 Pine Cone Ct,Reston,VA,20191,527500,3,3.0,RESTON SEC 52 BLK 3 KING,1644,1584.0,1978,18.0,321,59.0,Sold,,,http://www.redfin.com/VA/Reston/11545-Pine-Cone-Ct-20191/home/9342921,BRIGHT MLS,VAFX1153896,N,Y,38.93348710000001,-77.3445003,1604368453-343,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/11545-Pine-Cone-Ct-20191/home/9342921,11545 Pine Cone Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/896/genMid.VAFX1153896_1.jpg,"$532,177",
PAST SALE,October-2-2020,Townhouse,1265 Weatherstone Ct,Reston,VA,20194,600000,3,3.0,RESTON SEC 73 BLK 7 WEAT,1725,2577.0,1996,31.0,348,104.0,Sold,,,http://www.redfin.com/VA/Reston/1265-Weatherstone-Ct-20194/home/9144571,BRIGHT MLS,VAFX1155782,N,Y,38.9854289,-77.33964370000001,1604368023-226,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Reston/1265-Weatherstone-Ct-20194/home/9144571,1265 Weatherstone Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/782/genMid.VAFX1155782_2.jpg,"$605,423",
PAST SALE,October-1-2020,Townhouse,2061 Whisperwood Glen Ln,Reston,VA,20191,420000,3,2.5,RESTON SEC 76 BLK 2A WHI,1092,870.0,1984,32.0,385,90.0,Sold,,,http://www.redfin.com/VA/Reston/2061-Whisperwood-Glen-Ln-20191/home/9344178,BRIGHT MLS,VAFX1149428,N,Y,38.934773,-77.33672299999999,1604367994-218,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8,,https://www.redfin.com/VA/Reston/2061-Whisperwood-Glen-Ln-20191/home/9344178,2061 Whisperwood Glen Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/428/genMid.VAFX1149428_1.jpg,"$427,694",
PAST SALE,August-28-2020,Townhouse,2300 Emerald Heights Ct,Reston,VA,20191,395500,4,3.0,RESTON SEC 36 BLK 4A PIN,1434,1606.0,1973,66.0,276,125.0,Sold,,,http://www.redfin.com/VA/Reston/2300-Emerald-Heights-Ct-20191/home/9327605,BRIGHT MLS,VAFX1143792,N,Y,38.939583,-77.369054,1604367642-122,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12,,https://www.redfin.com/VA/Reston/2300-Emerald-Heights-Ct-20191/home/9327605,2300 Emerald Heights Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/792/genMid.VAFX1143792_1.jpg,"$405,855",
PAST SALE,October-27-2020,Townhouse,2183 White Cornus Ln,Reston,VA,20191,335000,3,2.0,RESTON SEC 38B BLK 12 DO,1262,1214.0,1973,6.0,265,176.0,Sold,,,http://www.redfin.com/VA/Reston/2183-White-Cornus-Ln-20191/home/9325443,BRIGHT MLS,VAFX1156132,N,Y,38.944370899999996,-77.371785,1604368283-297,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Reston/2183-White-Cornus-Ln-20191/home/9325443,2183 White Cornus Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/132/genMid.VAFX1156132_2.jpg,"$334,786",
PAST SALE,October-16-2020,Townhouse,11669 Newbridge Ct,Reston,VA,20191,492500,3,3.0,RESTON SEC 42 BLK 5 NEWB,1832,2529.0,1974,17.0,269,130.0,Sold,,,http://www.redfin.com/VA/Reston/11669-Newbridge-Ct-20191/home/9334967,BRIGHT MLS,VAFX1150530,N,Y,38.944121,-77.352287,1604368135-261,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/11669-Newbridge-Ct-20191/home/9334967,11669 Newbridge Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/530/genMid.VAFX1150530_1.jpg,"$515,413",
PAST SALE,September-29-2020,Townhouse,1671 Fieldthorn Dr,Reston,VA,20194,408000,2,2.0,RESTON SEC 41 BLK 3 WHIS,1350,990.0,1986,34.0,302,108.0,Sold,,,http://www.redfin.com/VA/Reston/1671-Fieldthorn-Dr-20194/home/9211205,BRIGHT MLS,VAFX1149896,N,Y,38.9705005,-77.3555812,1604367931-201,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/1671-Fieldthorn-Dr-20194/home/9211205,1671 Fieldthorn Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/896/genMid.VAFX1149896_1.jpg,"$415,798",
