web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
"1604368421-335","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2","","https://www.redfin.com/VA/Reston/2343-Citation-Ct-20191/home/9318487","2343 Citation Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/590/genMid.VAFX1152590_1.jpg","$751,318","null"
"1604368045-233","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/1666-Sierra-Woods-Ct-20194/home/9210064","1666 Sierra Woods Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/698/genMid.VAFX1150698_3.jpg","$458,280","null"
"1604368475-348","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1","","https://www.redfin.com/VA/Reston/1713-Whisperhill-Dr-20194/home/9211690","1713 Whisperhill Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/330/genMid.VAFX1155330_1.jpg","$412,140","null"
"1604367915-197","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9","","https://www.redfin.com/VA/Reston/1851-Stratford-Park-Pl-20190/unit-103/home/9838024","1851 Stratford Park Pl #103","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/196/genMid.VAFX1147196_2.jpg","$430,738","null"
"1604367508-91","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Reston/11329-Headlands-Ct-20191/home/9342140","11329 Headlands Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/926/genMid.VAFX1139926_1.jpg","$415,892","null"
"1604368342-312","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/10913-Thanlet-Ln-20190/home/9241316","10913 Thanlet Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/028/genMid.VAFX1151028_1.jpg","$834,510","null"
"1604367361-53","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/1911-Logan-Manor-Dr-20190/home/9216241","1911 Logan Manor Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/518/genMid.VAFX1124518_5.jpg","$921,031","null"
"1604367551-102","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Reston/2240-Lofty-Heights-Pl-20191/unit-123/home/9327380","2240 Lofty Heights Pl","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/250/genMid.VAFX1138250_1.jpg","$377,679","null"
"1604367740-149","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11","","https://www.redfin.com/VA/Reston/1960-Barton-Hill-Rd-20191/home/9353347","1960 Barton Hill Rd","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/006/genMid.VAFX1139006_1.jpg","$974,114","null"
"1604367261-24","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/1714-Abercromby-Ct-20190/unit-1714A/home/9855406","1714 Abercromby Ct Unit 1714A","","$265,851","null"
"1604368094-248","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6","","https://www.redfin.com/VA/Reston/1488-Roundleaf-Ct-20190/home/9241992","1488 Roundleaf Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/226/genMid.VAFX1155226_1.jpg","$571,465","null"
"1604368268-292","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4","","https://www.redfin.com/VA/Herndon/11889-Shaker-Meadows-Ct-20170/home/9831945","11889 Shaker Meadows Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/786/genMid.VAFX1147786_2.jpg","$1,276,060","null"
"1604367677-131","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12","","https://www.redfin.com/VA/Reston/2112-Green-Watch-Way-20191/unit-100/home/101695935","2112 Green Watch Way #100","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/752/genMid.VAFX1137752_1.jpg","$321,414","null"
"1604367490-87","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Reston/12001-Market-St-20190/unit-273/home/9849098","12001 Market St #273","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/168/genMid.VAFX1137168_1.jpg","$297,791","null"
"1604367961-209","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/1502-Scandia-Cir-20190/home/9243167","1502 Scandia Cir","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/628/genMid.VAFX1130628_4.jpg","$540,745","null"
"1604367743-150","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11","","https://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-202/home/9848753","12000 Market St #202","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/294/genMid.VAFX1139294_1.jpg","$543,307","null"
"1604368208-281","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Reston/12106-Quorn-Ln-20191/home/9347209","12106 Quorn Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/244/genMid.VAFX1155244_2.jpg","$660,929","null"
"1604367575-105","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Reston/11403-Fieldstone-Ln-20191/home/9350229","11403 Fieldstone Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/742/genMid.VAFX1139742_1.jpg","$1,106,222","null"
"1604367453-77","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15","","https://www.redfin.com/VA/Reston/1951-Roland-Clarke-Pl-20191/unit-31/home/171118261","1951 Roland Clarke Pl #31","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/490/genMid.VAFX1117490_2.jpg","$850,654","null"
"1604368359-317","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/1540-Moorings-Dr-20190/unit-12B/home/9224612","1540 Moorings Dr Unit 12B","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/512/genMid.VAFX1155512_1.jpg","$325,675","null"
"1604367445-75","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15","","https://www.redfin.com/VA/Reston/11760-Sunrise-Valley-Dr-20191/unit-509/home/12074764","11760 Sunrise Valley Dr #509","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/564/genMid.VAFX1138564_2.jpg","$278,541","null"
"1604368234-287","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4","","https://www.redfin.com/VA/Reston/1661-Parkcrest-Cir-20190/unit-301/home/143419188","1661 Parkcrest Cir #301","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/646/genMid.VAFX1154646_1.jpg","$307,160","null"
"1604367492-88","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Reston/11822-Blue-Spruce-Rd-20191/home/9347352","11822 Blue Spruce Rd","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/102/genMid.VAFX1141102_3.jpg","$727,296","null"
"1604368020-225","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/11909-Crosswind-Ct-20194/home/9212085","11909 Crosswind Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/994/genMid.VAFX1150994_1.jpg","$392,560","null"
"1604368383-324","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Herndon/12905-Centre-Park-Cir-20171/unit-312/home/9854430","12905 Centre Park Cir #312","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/912/genMid.VAFX1141912_3.jpg","$331,228","null"
"1604368177-272","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Reston/2385-Southgate-Sq-20191/home/9323951","2385 Southgate Sq","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/514/genMid.VAFX1155514_1.jpg","$349,405","null"
"1604367611-115","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Reston/1665-Parkcrest-Cir-20190/unit-300/home/144172705","1665 Parkcrest Cir #300","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/054/genMid.VAFX1143054_1.jpg","$298,431","null"
"1604368052-235","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Herndon/1664-Sierra-Woods-Ct-20194/home/9210073","1664 Sierra Woods Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/512/genMid.VAFX1148512_2.jpg","$451,288","null"
"1604367336-46","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/11690-Stockbridge-Ln-20194/home/9227152","11690 Stockbridge Ln","","$666,471","null"
"1604368193-277","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Herndon/1167-Reston-Ave-20170/home/9121580","1167 Reston Ave","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/906/genMid.VAFX1153906_1.jpg","$1,174,367","null"
